,age,Weidner_i0,Hannum_i0,PhotoAge
X1001,67,57.9995330921056,67.13475010211,75.04815218569
X1002,89,83.8180562396107,86.16786539993,75.351962147904
X1003,66,68.38801678468,68.95305797553,74.936211095138
X1004,64,69.1022785801826,68.89555924899,75.51672590976
X1005,62,59.7833139674933,67.93252073917,76.080550170093
X1006,87,79.4841287403837,84.22936189224,75.118920738435
X1007,73,64.8864747633405,77.75700467977,74.994830224055
X1008,75,66.6505483676251,76.60311459627,75.914391268088
X1009,73,72.4914069025339,79.89898650186,75.4675171670688
X1010,83,82.5276197906195,82.41801509711,75.122179032157
X1011,82,81.3094820468067,87.21390124453,74.723729080996
X1012,48,48.4185123584399,57.72919253109,74.526551503075
X1013,77,77.4025161175649,81.47749401856,74.920857735897
X1014,54,51.1530262025291,51.99912505004,75.643294579221
X1015,63,69.9529723802535,73.36821447543,73.974138451354
X1016,71,69.9677334088628,74.01701088807,74.36169872585
X1017,68,69.595604703942,73.10503809346,73.38906211676
X1018,80,76.2488175350974,81.86902218573,75.213817307407
X1019,92,91.3798763334089,89.76722483195,74.77755194431
X1020,60,63.6784573326718,61.90937291835,74.717237457885
X1021,79,80.2438352343524,83.98400054397,75.52025086083
X1022,68,60.0367666545797,73.54696096166,75.072709549584
X1023,93,90.5681144448824,97.60760316631,74.011593574806
X1025,84,91.0233502246589,92.43476624887,76.48797810976
X1026,74,72.8473303944593,72.95034517125,75.493933183445
X1027,74,68.6196172379052,81.96608078531,74.615024792455
X1028,76,76.5032241506303,75.72429007195,75.639560386641
X1029,56,61.4058966885623,62.1747142799,74.023401044697
X1030,72,78.7918409678023,75.51048977741,76.174540570251
X1031,75,71.3169528564797,80.79934974899,75.16322405615
X1032,79,82.582657304248,82.21395161299,73.871743183556
X1033,73,75.2733389568592,87.359149236,74.4471776286
X1034,82,79.924209782098,80.40022702443,74.82421510254
X1035,74,77.8603044955757,77.74192301639,74.51097290074
X1036,79,78.6263594942297,85.58467624717,73.618459504772
X1037,54,59.7475109891056,60.85572929326,74.28635773672
X1039,101,86.6593061889117,98.72823642413,74.861278935612
X1040,79,79.2701238158578,86.46868102617,75.582998863924
X1041,84,84.0569586955853,81.46993564026,74.473306342673
X1042,85,76.1008860550339,79.91128763261,75.399549227779
X1043,87,82.088761325711,85.42590693678,74.021456560188
X1044,74,78.9680841943647,81.15469805973,73.717840518259
X1045,77,69.7563519515468,82.31229912664,73.697142241305
X1046,73,67.6046890741464,78.18197758465,75.717411544819
X1047,87,80.8259087604855,90.58030576968,74.341221508667
X1048,85,69.5685175941031,78.86352943704,74.073929849844
X1049,88,86.943991547647,86.5271177029201,74.301724145192
X1050,66,66.3990714987925,68.04046581928,75.053665900797
X1051,78,74.03875300361,78.78070975612,74.651046094876
X1052,53,68.0691103816838,65.48117809599,75.498637753533
X1053,76,75.5413572116206,80.40502931208,75.6577747979
X1054,67,60.384523123928,70.19574900411,74.994135792754
X1055,73,68.9590386147156,78.15342721542,74.382395453314
X1056,54,56.8055969906187,63.87095695736,75.351008298177
X1057,73,76.2029836837545,79.43005516946,75.424675589684
X1058,96,87.6006126914452,99.67795640008,75.27058074965
X1059,57,63.1747074193008,70.48376762087,75.369549321746
X1060,76,82.3367401451935,78.18529845826,75.691866714287
X1061,47,46.0297639043844,48.77277355934,74.508474344315
X1062,54,53.3890140025655,59.31426363328,73.86776173204
X1063,73,72.9739930239162,74.71366778595,74.963719938384
X1064,84,77.0046558242746,84.78745212622,75.6096742478706
X1065,62,62.1704809934212,66.44937252325,74.94186442062
X1066,89,89.5215809059077,93.83647968606,74.5952058087985
X1067,68,61.3461685526866,76.96067546577,73.582088097279
X1068,62,67.1214451752965,67.9223526779,75.12210693918
X1069,79,76.6345954389403,79.08515846516,74.314503309503
X1070,72,66.5656414970869,74.18162692442,74.1751799653415
X1071,69,66.3723551445543,69.23577388075,73.91086850302
X1072,55,46.1168370326385,60.26356476066,73.992673415683
X1074,73,61.6379836319539,71.49753427101,74.210556292847
X1075,79,74.8829860336565,80.78184432472,75.22344185433
X1076,72,72.9659486673062,75.56566737591,73.899529109845
X1077,89,80.1431706070566,85.70494709995,74.48903590738
X1078,79,80.9644949147953,87.33311993398,72.913770294319
X1079,85,81.0822478951765,87.27368685454,73.633489262067
X1080,68,72.5109316640224,69.92661096778,74.541256814092
X1081,89,88.7527793352229,88.58306388473,72.6995633509618
X1082,73,75.5096927490087,80.32772499673,74.65951018297
X1083,63,60.4917764938331,65.49291368832,74.652225690183
X1085,78,79.0390992998776,79.50710757797,74.300234387279
X1086,65,65.202730254921,71.53183989868,75.144222784704
X1087,65,70.6092765575972,71.34929431367,74.48588241878
X1088,89,80.791378064455,90.26523224583,74.340712934646
X1090,85,92.3524758121718,88.18739302591,74.84982613348
X1091,66,58.3854653682987,67.68250133556,73.16882425984
X1092,76,74.1001931596388,83.14544960274,74.676094911323
X1093,74,77.1157004407262,74.838999954,73.0573727774983
X1095,84,79.8785835928226,85.18595335201,74.361669246433
X1096,71,71.5173643249389,75.68901070009,75.69959096357
X2001,49,48.2036862356478,58.88026123587,73.8102811552826
X2002,69,72.6532546464445,76.16027783771,74.433491304051
X2003,63,71.8619149480135,73.78591677983,74.375269857887
X2005,66,73.4014052064124,75.14229628143,73.918545731974
X2006,85,78.7237102549527,85.13837670067,73.87929337486
X2007,76,76.9435474546476,83.94406365775,73.2124452071
X2008,84,83.9508577637792,92.36985335474,73.24620501963
X2009,59,62.7241230807846,64.74665739963,75.326957173607
X2010,70,60.1447849768454,72.61468870584,74.62874513351
X2011,65,67.5329477537804,74.76200073617,73.34296113753
X2012,68,73.9983131449885,76.58878949355,73.863997766947
X2013,84,79.8041936357452,85.95393952182,73.819004547028
X2014,75,84.3050852583233,87.11281150794,74.74451390846
X2017,51,50.1907148609796,58.92310106,74.913571716686
X2018,63,69.7990985051263,71.93286819199,74.467371845245
X2019,69,73.8136806362637,78.44795064413,75.14633709252
X2020,78,86.9942689454307,85.34184055666,75.27896167966
X2021,78,71.7112730373487,84.23730177149,74.234037171858
X2022,52,53.4347619843888,58.08466431255,75.002886370984
X2023,49,57.162887566416,61.35307660192,74.625836234831
X2024,53,60.6261432353039,64.76751963126,74.245271186996
X2025,59,65.1737688511118,65.62745378611,74.932072632198
X2026,62,65.8763353220067,72.70673479047,73.9004422158
X2027,46,50.7466671958823,58.91884466569,75.7653557891654
X2028,68,67.7844180007261,74.70952396835,75.16376658437
X2029,74,72.7238445003244,79.45231681756,74.4159754228178
X2030,59,62.4335627116379,66.18157310183,73.3114313888
X2031,76,73.1677764025802,77.27296612891,75.347624519397
X2032,54,58.9796496450771,62.70766235429,75.371390746373
X2033,59,56.9905004611871,65.18383383489,74.223421094576
X2034,48,55.8408510247607,62.64207507301,74.09475951321
X2035,45,47.4283501246918,54.87264141869,75.20243010813
X2036,62,65.011824577284,71.80407890526,73.352250729234
X2038,63,74.3998318751548,75.61518549784,74.215960933327
X2039,80,74.1754008060023,81.22068369423,74.50898206138
X2040,60,62.2523836318584,73.99340545107,74.043242182804
X2041,71,75.9025008363608,80.22134045413,75.266626993474
X2042,67,68.9273596995415,77.7800909326,74.637768809966
X2043,50,59.9333914357583,61.63119251701,75.18170462959
X2044,86,85.4047384175242,84.48576119397,74.894843861888
X2045,70,80.6065528004729,86.52040455817,73.639760910848
X2046,54,59.4269980632241,61.68275919715,74.970287028298
X2047,69,65.3914547988691,71.35349016929,75.92900752715
X2048,76,77.1949963911862,74.00725884841,75.2114307239766
X2049,58,66.0934031959902,65.80187443894,73.48299626031
X2050,58,64.9398748172039,68.74848028038,74.0040935505662
X2051,64,67.0893899736359,68.82739035961,73.615870598194
X2052,73,77.2651355442672,75.37221150733,74.56419530467
X2053,49,47.6637401400604,55.5606276963,73.62617460668
X2054,56,55.1653083151462,54.62073021027,74.480203811127
X2055,75,76.7822867212029,84.42295999174,73.512258574572
X2056,48,55.4770275324714,62.44373416875,73.966699376724
X2058,81,83.3591323923458,86.27326051426,74.573639264032
X2059,72,64.3897482307341,74.19739281038,74.915006271186
X2060,61,65.1943523552107,69.25581432286,72.578900090492
X2063,50,58.2293682307015,64.11913246527,75.090852070916
X2064,69,62.9949695921746,73.91843542566,75.21875471395
X2065,65,62.7871527472396,73.34521813187,74.57899256505
X2066,47,44.1333970775402,50.72339218715,75.505716763489
X2068,43,52.9188314263087,57.4588481354,73.925101186281
X2069,55,58.2667461485183,59.99205594502,74.694923954552
X2070,54,57.9003493272275,62.48416352246,73.929694056703
X2071,58,63.0716258989531,69.35037975176,73.37057424439
X2072,34,37.9205860202157,45.83271011417,74.936465709206
X2074,65,66.829849637722,69.46901720444,74.522597168071
X2075,52,55.035216447142,57.42276483577,75.573531055084
X2076,32,39.7564512062763,40.06284656095,75.2452577011514
X2077,47,54.191249384433,62.04717691459,73.53560416924
X2078,54,65.9776611453281,67.94604808294,74.847870235695
X2079,63,65.0003805498937,69.02844518033,74.429522204427
