FACTOR1	P-VALUE	CORR.P-VALUE	A	B	C	D	PERCENT	BACK.PER.	GENES
MA0098.1.ETS1	1.64482756815e-36	0.0	89.0	2775.0	128.0	28512.0	3.11	0.45	AKR1C6P,COL11A1,FKBP6,PKP4,RCBTB1,DAB1,GPR32,NALCN-AS1,SLC35G1,FAM163A,CALM1,IL12RB2,MPP7,NID1,NTRK2,FAM110C,NAV2,MTMR7,ANKRD46,SNTG1,CENPF,ZNF365,COG6,PPP1R36,NACAD,KCTD15,BPIFB1,MYO5B,GORASP2,FMN2,LINC00607,CHCHD3,ECSCR,NKAPL,COL27A1,TCF4,HOXC13,HOXC12,PAX9,PRDM10,SLC22A3,EFCAB1,PI4KB,EPHA4,RORB,PLEKHH1,TMCC3,GBX2,ZNF536,DLX6-AS1,LAMA1,ELL,ATP12A,AGAP1,SALL1,IPO11-LRRC70,CNNM1,LINC00642,ERG,TPTE2P6,C1orf168,CDK5RAP1,PRKD1,CDH13,TMIE,ARL11,C8A,CDKN2A,PITX1,SPTBN1,VWDE,FEZF1,AKR1E2,PIPSL,MIR548AI,NDUFA4L2,DGKG,SIM2,CD44,CLEC11A,CA8,PLEKHG5,CREB3L2,WIPF3,LOC441009,SLC1A2
MA0104.1.Mycn	1.26407436873e-47	0.0	120.0	2744.0	179.0	28461.0	4.19	0.63	SYTL3,NRCAM,SVEP1,CHN2,POLR3D,PKP4,TNRC6B,MROH1,CDKN2AIPNL,PIWIL2,LOC100505676,THRB,PTGER3,ZSWIM6,GMCL1,PRRC2B,COG5,CACNA2D3,TBX2,SOCS3,MIR384,MIR548H2,SNRNP27,HSPG2,CBX7,LOC100130155,BFSP1,CTIF,EDNRA,LOC283403,FLJ41941,EN1,ZIC4,CPPED1,SDK2,ASIC2,PAX5,ABCB11,PCDHGA1,ANKRD27,DNAH1,MTHFD1L,RHBDF1,C1orf145,PHF2,CREBBP,DPF3,CLDN10,HDAC4,SORCS2,KIF14,TENM2,ME3,MIR4300,LOC100271832,PTPLB,BCAS3,MIR135A1,DAW1,FAM167A,PPAPDC1A,DLGAP1,DUSP4,ZNF438,EVC,ADAM23,FSCN1,ZNF488,CNNM4,GNG12-AS1,TMTC2,CDH13,DIP2C,LOC285692,OVOL1,ADAM19,CDK19,ARAP3,MLLT4,GDF7,SUPT3H,MED14,LMAN2L,DAPK1,PDGFB,MTR,LOC643201,LYPD5,CLDN10-AS1,ARMC3,RAB24,MCC,REC8,SPHKAP,SOGA1,DCAF5,CRIM1,C2orf43,SCIN
MA0004.1.Arnt	1.26407436873e-47	0.0	120.0	2744.0	179.0	28461.0	4.19	0.63	SYTL3,NRCAM,SVEP1,CHN2,POLR3D,PKP4,TNRC6B,MROH1,CDKN2AIPNL,PIWIL2,LOC100505676,THRB,PTGER3,ZSWIM6,GMCL1,PRRC2B,COG5,CACNA2D3,TBX2,SOCS3,MIR384,MIR548H2,SNRNP27,HSPG2,CBX7,LOC100130155,BFSP1,CTIF,EDNRA,LOC283403,FLJ41941,EN1,ZIC4,CPPED1,SDK2,ASIC2,PAX5,ABCB11,PCDHGA1,ANKRD27,DNAH1,MTHFD1L,RHBDF1,C1orf145,PHF2,CREBBP,DPF3,CLDN10,HDAC4,SORCS2,KIF14,TENM2,ME3,MIR4300,LOC100271832,PTPLB,BCAS3,MIR135A1,DAW1,FAM167A,PPAPDC1A,DLGAP1,DUSP4,ZNF438,EVC,ADAM23,FSCN1,ZNF488,CNNM4,GNG12-AS1,TMTC2,CDH13,DIP2C,LOC285692,OVOL1,ADAM19,CDK19,ARAP3,MLLT4,GDF7,SUPT3H,MED14,LMAN2L,DAPK1,PDGFB,MTR,LOC643201,LYPD5,CLDN10-AS1,ARMC3,RAB24,MCC,REC8,SPHKAP,SOGA1,DCAF5,CRIM1,C2orf43,SCIN
MA0006.1.Arnt::Ahr	1.81280564281e-36	0.0	121.0	2743.0	256.0	28384.0	4.22	0.89	EPB41L4A,GPR39,AKT3,POLR3A,RGPD8,TIAM1,FBXL13,KCNU1,MTMR9,MARVELD2,TRIML2,DLEU7,LPP,HTR4,FLRT2,GC,CACNA2D3,RAB40B,CRCP,AKAP1,CSRP3,FOXK1,HSPG2,NDNF,CRTC3,LOC283403,JMY,PREX1,LIMCH1,EN1,HOXC-AS5,ZFP37,TUBB6,TSHZ1,ZC3H6,PCDH12,PAG1,TLE1,CDH13,LOC100289230,CBX7,POLN,LOC100271832,POFUT1,UNC79,MYH9,NAV2,TMEM206,DNMBP,CLEC16A,LINC00340,FAM225B,MXRA7,EEFSEC,OCLN,ZW10,UHRF2,ERO1L,ACOX2,NTN1,LOC339862,GLB1,FAM107A,AGPAT4,MIR4289,TOX,PSMD7,ERICH1-AS1,PITX2,OVOL3,C15orf57,MINK1,TFAP2A,PTHLH,TTLL11,TRIML1,EYA4,AACSP1,DAPK2,PDGFB,LTBP1,TPST1,CHRM3,TMPRSS5,CLDN24,CES1,HTATSF1P2,EBF1,DENND1A,LOC283922,SLC6A20,BNC2,MIR133A2,E2F8,REC8,FAM71F1,FAM71F2,BOLA1,ABCC5,THBS4,ABCC2
UP00042_2_Gm397_secondary	1.26291313507e-09	6.74395372435e-07	31.0	2833.0	72.0	28568.0	1.08	0.25	PECR,LARGE,TMEM177,SLC25A14,EEFSEC,ZNF438,DAPK1,CRISPLD1,QRICH2,GSG1,SNTG2,PRKCE,SP7,BCOR,CACNA2D3,ETV3,KCNH1,BNC2,MIR133A2,ZNF280C,KANK4,MGAT4C,EMP1,MYO16,ETV3L,CKAP2L
MA0130.1.ZNF354C	4.60381535018e-09	2.4538305653e-06	149.0	2715.0	872.0	27768.0	5.2	3.04	PGAP3,TUSC1,C14orf23,TSPAN16,STX1B,CACNA2D3,FBLN1,NALCN-AS1,LHX2,LHX8,ARHGEF7,SIX1,LINC00424,DLGAP1,MARVELD2,CUL7,DLEU7,HMG20A,CRISPLD2,LIPC,KRTAP17-1,SNTG2,ENPP2,CRYBB2P1,SLC25A24,KIRREL3,LOC648987,ADCY2,HS6ST2-AS1,ACSL3,MIR548H2,RAI14,PRAC,IBA57,SYNPO2,DMD,FOXK1,HSPG2,ANO1,KHDRBS3,SLAIN2,LOC100130155,ZADH2,GABBR2,IL1R2,STIL,KCNA5,MAML3,LIMCH1,ZNF426,LINC00523,KSR2,PLCB1,RHBDD1,PAX5,UBA7,BFSP1,FTO,PRDM16,IRF2,ABCG4,PCDH12,ASAP2,HS6ST2,CACNA1A,EFCAB4B,MYH11,EHD4,VSTM2A,ZFP1,FAM81A,FTHL17,TRPC7,ADAMTS17,CBX7,PTPLB,ATP5D,EHMT1,SEC23A,AKR1B15,TEC,ZNF213,C19orf80,LRRC37A11P,TMEM206,ELL3,TCF21,RIMS2,KIF16B,FBXO47,TAL1,LRRC8C,TCEA3,CTRB2,ADAM23,OCLN,C15orf41,TAF1B,GALNT15,CNNM4,LOC284757,GJC2,GLB1,ABCA4,FANCI,PITPNM3,IL8,MIR4289,BPGM,C2CD2,C6orf89,C1orf213,FOPNL,GNAT1,ZC3H12C,LINC00483,ALDH1A3,RAB3IL1,ELL,ZNF121,KCNK5,BHLHE22,ALX4,RGS7,SIPA1L1,LMAN2L,RGS9,PDGFB,MATN2,HEG1,FBN2,SLC24A3,LOC643201,SERF2,DENND1A,P2RY6,MIDN,DCBLD2,CYP7B1,WFIKKN2,MCC,DCAF5,C20orf112,BOLA1,KAT6B
MA0056.1.MZF1_1-4	3.36223239044e-08	1.78869166561e-05	138.0	2726.0	818.0	27822.0	4.82	2.86	KRT39,SLC6A7,COL11A1,CRLF1,POLR3D,TMEM255A,CERK,SMAP1,LHX2,SAMD13,GPR180,HOXC-AS5,SIX2,SIX3,AQPEP,CRISPLD2,LIPC,LIPE,HOTAIR,LOC148696,OASL,CEP192,PPP1R36,FLJ22447,TRAPPC9,CSPG4,PLD3,AKT2,FAM183B,SOX2-OT,GLIS2,MAPK13,ITGA6,TPK1,IGFL2,RNGTT,TUBA1C,TUBA1A,AJAP1,NID1,ZNF767,PRSS38,TMPRSS2,DLX2,SLC14A1,UNC5A,PAX5,BTNL8,HOXC12,CHST1,EPS8L2,EPS8L3,VPS41,IVD,IRF1,ZNRF1,TFAP4,ST8SIA5,SNAP47,WDR37,TOX2,GOLGA8B,FAM134B,DPF3,EHD4,PIWIL2,TLE1,RCAN2,KLHL29,RTKN,VAPA,SIX1,TENM2,LOC100996307,ARRB1,BTNL3,TMEM17,RD3,SNX10,FANCC,RNF152,PTTG1,SKAP1,KRT23,TET3,RABGEF1,EFNA1,PLCL1,DTNB,ZDHHC7,GRIK3,JDP2,FAM107A,SSTR2,TMTC2,DGUOK,SLC35D3,TUB,PDE4D,NHEG1,HIVEP3,CDH13,CLEC16A,EGFR,BAHD1,RUNDC3A,LOC285692,AP3S1,ECE2,SORBS2,P2RX7,ELL,KLF14,CLEC3B,MIR3142,TFAP2B,C14orf132,MAB21L3,GRIN2A,TTLL11,VIPR1,SIPA1L2,PLAG1,PRKCH,TECPR2,PTGIS,CES1,CASC4,SYNPO2L,PBX1,SOX21,TBC1D22A,C1QTNF7,PCDH7,FUT4,RPP14,SYBU,OTP,KAT6B,CRIM1,POU2F2,CTTNBP2NL,BCL2
MA0003.1.TFAP2A	5.13716794268e-08	2.72779904459e-05	13.0	2851.0	12.0	28628.0	0.45	0.04	IVD,FAM124B,WASF2,GPRIN2,CCT7,ATP2C2,RNFT2,AHDC1,BAHD1,CAMTA1,CHST1,RASAL2,LHFPL2,PPYR1
MA0076.1.ELK4	5.13716794268e-08	2.72779904459e-05	13.0	2851.0	12.0	28628.0	0.45	0.04	ATP12A,CA8,COL11A1,IPO11-LRRC70,UTRN,TPTE2P6,PTPRO,NDUFA4L2,PITX1,DGKG
MA0018.2.CREB1	8.02107720894e-08	4.2430599958e-05	15.0	2849.0	19.0	28621.0	0.52	0.07	FOXN3,KIAA1598,HTA,ERBB4,MBTD1,SP5,ZFHX3,MSRA,ATP7B,FAM225B,ZFP37,RBFOX2,GTDC1,ABHD6,TRIM66,ZEB2
