FACTOR1	P-VALUE	CORR.P-VALUE	A	B	C	D	PERCENT	BACK.PER.	GENES
MA0006.1.Arnt::Ahr	3.45112477929e-20	0.0	39.0	481.0	42.0	5158.0	7.5	0.81	PHF14,TASP1,SKA1,STMN2,CDRT7,FBXO4,ANKRD32,RFPL2,FZD10,SIX3,CHCHD3,GCNT2,TMEM33,C3orf33,PLCH1,TBX15,C6orf203,PARP4,PRMT6,CD69,CCDC162P,SLC26A7,TACR1,CLECL1,NFASC,RIPPLY2,DCAF4L1,ZNF777,FDX1,GAS7,CSRP2BP
MA0079.1.SP1	6.28555487128e-07	0.000337477444326	15.0	505.0	24.0	5176.0	2.88	0.46	PHF14,CCDC53,GCNT2,WRN,CHSY3,TARBP1,NOD2,XRCC2,TACR1,AASDHPPT
MA0104.1.Mycn	6.49094514118e-07	0.000347854257167	16.0	504.0	28.0	5172.0	3.08	0.54	TBX18,MIR3680-1,MIR3680-2,HEATR1,C3orf33,XCL2,PLCH1,HUNK,PID1,ADAMTS19
MA0004.1.Arnt	6.49094514118e-07	0.000347854257167	16.0	504.0	28.0	5172.0	3.08	0.54	TBX18,MIR3680-1,MIR3680-2,HEATR1,C3orf33,XCL2,PLCH1,HUNK,PID1,ADAMTS19
UP00065_2_Zfp161_secondary	3.55190943172e-06	0.00189492536266	6.0	514.0	1.0	5199.0	1.15	0.02	CCDC53,CHSY3,TMEM132D,XRCC2,AASDHPPT
MA0098.1.ETS1	0.000198860968731	0.100578442932	10.0	510.0	20.0	5180.0	1.92	0.38	WDR7,CDH13,UBL4B,G6PC2,ABCB11,TCHH,PPP1R9A,MAP3K19,MAPK9,SLC6A17,AASDHPPT
MA0146.1.Zfx	0.00393324161201	0.877127799448	6.0	514.0	12.0	5188.0	1.15	0.23	NKX2-1,SKAP2,ELOVL6,ANKFN1,XRCC2,EGF
MA0047.2.Foxa2	0.00649658193253	0.968599747871	3.0	517.0	2.0	5198.0	0.58	0.04	MSI2,GRID1,EPB41L4A
MA0076.1.ELK4	0.00649658193253	0.968599747871	3.0	517.0	2.0	5198.0	0.58	0.04	UBL4B,WDR7,ABCB11,SLC6A17,G6PC2
MA0018.2.CREB1	0.00825001192199	0.987504147892	2.0	518.0	0.0	5200.0	0.38	0.0	LUZP6,GAS7
UP00100_2_Gata6_secondary	0.00825001192199	0.987504147892	2.0	518.0	0.0	5200.0	0.38	0.0	DBI,TMEM37
MA0039.2.Klf4	0.0144697973248	0.999538621383	6.0	514.0	17.0	5183.0	1.15	0.33	PGBD5,RAB4A,GCNT2,EPHB1,TACR1
UP00008_2_Six6_secondary	0.0149794898729	0.999643373302	5.0	515.0	12.0	5188.0	0.96	0.23	GRIA2,SLC5A1
MA0111.1.Spz1	0.0192280468963	0.999962569992	5.0	515.0	13.0	5187.0	0.96	0.25	DNAJC3,CYLD,NAALADL2,RABGAP1L
UP00000_2_Smad3_secondary	0.0232552801953	0.999995581429	2.0	518.0	1.0	5199.0	0.38	0.02	ABCB10
