FACTOR1	P-VALUE	CORR.P-VALUE	A	B	C	D	PERCENT	BACK.PER.	GENES
MA0098.1.ETS1	1.54370287715e-34	0.0	96.0	3402.0	165.0	34815.0	2.74	0.47	KIAA0040,NLRP11,OR9G4,RAB38,CNTNAP2,CASP14,CTNND2,ADAMTS17,CNTN5,PARK2,ITIH5,SOX5,FRG1,MIR4719,RFPL4A,KCNK1,WWOX,GRM8,PROP1,GUCA2B,FAM135B,NKD1,SDK1,SDK2,PDGFD,GRID2,SLC22A3,HSPB8,ASIC2,RPH3A,COL23A1,MYO5B,ADAMTS20,MUC16,TDP1,BMP2,GAREM,SYK,CDS1,C10orf128,FAT3,FAT2,FREM1,CSMD1,WDFY3,L3MBTL4,OR1I1,GFRA2,LOC286370,MEP1B
MA0104.1.Mycn	2.93636353909e-51	0.0	146.0	3352.0	255.0	34725.0	4.17	0.73	GHRHR,HS3ST4,KRT71,SLC6A5,ITIH2,SORCS1,NTM,JAKMIP1,ANO2,FLJ41278,SFMBT2,CSMD1,MYL2,ADAMTS17,ADAMTS16,KCNA6,TGM3,PARK2,LOC100190940,NCAM1,TMEM132C,RGMA,PSD3,OR1A1,PGBD5,UNC79,CACNA1E,USP43,DLGAP2,LRP1B,PRIMA1,SLIT1,FSHR,MYT1L,ABCC8,TRPM6,NKAIN2,TECTA,SDK1,ESRRG,GRID1,OR8B12,AQP1,SDK2,PCSK6,WWOX,CLNK,KCNQ3,LOC100130264,CELF2,MAF,LOC100131138,CUX2,LOC401497,IGSF21,FGF6,SLC24A3,TNN,PDE10A,LINC00617,OPCML,ABCA13,RBFOX1,OR1D4,WNT7A,PAX1,AK4,GRIN2B,LOC284260,SHISA6,LOC150935,L3MBTL4,SLC22A3,COBL,MYO5B,GRIP2,COL6A5,FGF23
MA0004.1.Arnt	2.93636353909e-51	0.0	146.0	3352.0	255.0	34725.0	4.17	0.73	GHRHR,HS3ST4,KRT71,SLC6A5,ITIH2,SORCS1,NTM,JAKMIP1,ANO2,FLJ41278,SFMBT2,CSMD1,MYL2,ADAMTS17,ADAMTS16,KCNA6,TGM3,PARK2,LOC100190940,NCAM1,TMEM132C,RGMA,PSD3,OR1A1,PGBD5,UNC79,CACNA1E,USP43,DLGAP2,LRP1B,PRIMA1,SLIT1,FSHR,MYT1L,ABCC8,TRPM6,NKAIN2,TECTA,SDK1,ESRRG,GRID1,OR8B12,AQP1,SDK2,PCSK6,WWOX,CLNK,KCNQ3,LOC100130264,CELF2,MAF,LOC100131138,CUX2,LOC401497,IGSF21,FGF6,SLC24A3,TNN,PDE10A,LINC00617,OPCML,ABCA13,RBFOX1,OR1D4,WNT7A,PAX1,AK4,GRIN2B,LOC284260,SHISA6,LOC150935,L3MBTL4,SLC22A3,COBL,MYO5B,GRIP2,COL6A5,FGF23
MA0006.1.Arnt::Ahr	9.04905201334e-60	0.0	165.0	3333.0	276.0	34704.0	4.72	0.79	ENOX1,IYD,COL22A1,FGF9,BMP7,KALRN,ERC2,SPON1,MOB3B,ERICH1-AS1,PLCG2,SFMBT2,CSMD1,LOC100507384,TMEM132D,LRRC3B,PARK2,LOC100507377,RANBP17,ZNF333,THSD7B,FAT3,APOB,RAD51AP1,LINC00424,NETO1,FSTL5,NDST4,GIMAP1-GIMAP5,DLGAP2,STPG2,OR8U8,CES5A,FICD,MYT1L,GRM7,LOC286083,EMR2,ZNF423,ACER2,KCND3,RIMBP2,GRID2,CRTAC1,SLC22A3,SLC24A2,MIR4278,CUX2,PAX7,LPL,COL23A1,SH3BGR,CHST1,GIMAP5,C11orf87,WWOX,CTNNA3,GLT1D1,CPLX2,GALNT13,SLC35F3,SS18,CCDC170,MIR548H3,GFRA2,NRXN3,RNF180,NRXN1,LINC00535,ELOVL7,SEMA6D,MTTP,NPAS3,SLC22A2,SPOCK3,TAT,HES1,SCN5A,ZNF99,DYRK4
UP00042_2_Gm397_secondary	8.24087538814e-16	4.15001366605e-13	45.0	3453.0	85.0	34895.0	1.29	0.24	MARCH11,IYD,CD1B,CD1C,SEMA6D,CCSER1,ALMS1P,ZNF704,DLGAP2,MYT1L,NMNAT3,OPCML,CST1,ZNF423,SDK1,GRID1,GFRA2,CST2,LUZP2,TSPAN8,PARK2,ADARB2,KCNV1,HTR3A,MAF,LINC00538,NPS
MA0130.1.ZNF354C	6.15850082448e-14	3.28420624029e-11	190.0	3308.0	1022.0	33958.0	5.43	2.92	TM2D3,GSC,MIR378D1,OTUD7A,PARK2,POU6F2,NXPE4,GOT1,JAKMIP1,AQP1,SNTG1,CORIN,ABLIM1,MACROD2,COL23A1,ADAMTS20,ROR2,BMP7,SYT9,LRRC4C,GRM7,MIR548H3,TLR3,INADL,LOC284788,GFRA2,MYO5B,GRIP2,WNT7A,EDIL3,ITGA9,GHRHR,ACTL9,KHDRBS3,CNTN5,FLJ41278,TMEM132D,TMEM132C,TTR,C16orf82,LOC100652770,USP43,MAP10,TRPM6,PIRT,KCNIP1,SDK1,TSHZ2,CUX2,DNAH3,DNAH6,DNAH9,GABRP,PDZD2,HES1,SNX20,ARPP21,SYN3,C8orf34,DMRT1,MOB3B,CSMD1,STXBP5,CTNND2,ADAMTS17,STXBP6,LOC100190940,RGMA,NLRP5,RIMS4,FGD5,ICOS,MTHFS,ANO2,LOC100505875,GABRB2,C4orf6,GRIK4,GALNT18,OR7A10,NTM,OR7A17,WWOX,COBL,CDH12,CHGA,CNTNAP2,CNTNAP5,MYOCD,CIT,NPAS3,EVC2,NOD2,LOC150935,SYNDIG1,CLRN3,PIEZO2,SLC24A3,OR2Z1,ZNF804B,MIR3680-1,MIR3680-2,ABCC8,STXBP5L
MA0028.1.ELK1	1.37223024756e-10	7.3002639045e-08	15.0	3483.0	9.0	34971.0	0.43	0.03	COL23A1,WWOX,PARK2,CNTNAP2,CASP14,OR1I1,MIR4719,CNTN5,MUC16
MA0018.2.CREB1	4.3472812307e-09	2.30840365878e-06	14.0	3484.0	11.0	34969.0	0.4	0.03	COL23A1,RBFOX1,KIF6,KCNT2,ADAMTS17,FLJ41278
MA0056.1.MZF1_1-4	3.96516452037e-08	2.10151515457e-05	168.0	3330.0	1054.0	33926.0	4.8	3.01	LOC285577,MIR650,LINC00701,NALCN-AS1,CYMP,TPD52,RYR3,NTRK2,PARK2,DLGAP2,RELN,GLP1R,MIR548A2,JAKMIP1,OR4N2,PRKAG2-AS1,MTUS2,ABLIM1,MACROD2,GNPAT,TSPAN8,GPR26,ADCY1,LINC00535,GFRA1,MYCNOS,SDR39U1,CD1E,MIR4778,CELF2,ANO2,TMEM132E,TMEM132C,SDK1,SDK2,LNX2,HMP19,KCNK17,RFPL4A,CNGA1,CMA1,GIMAP5,LOC100169752,PROK1,ACSM1,WDFY4,ZNF423,OR4M1,MTIF3,ADAMTS17,LOC100129083,THSD7B,CPXM2,GIMAP1-GIMAP5,PRIMA1,STOX2,LINC00348,GALNTL5,CECR2,LOC100288637,GRID2,OR11H2,LINC00675,LOC100506035,TRIM67,DICER1,LOC283143,ADAMTS9-AS2,NTM,MIR296,WWOX,BCL11A,SBSPON,LOR,CNTNAP2,NLRP11,ZMAT4,PRR9,HERC2P10,FAM155A,ENPP6,TECRL,USH1C,AACSP1,NBAS,TMEM220-AS1,ESRRG,SLC24A4,LOC100507377,PTPRT,EXOC8,PTPRE,PTPRD,SIGLEC8,SLC1A6
MA0146.1.Zfx	8.78550518722e-08	4.64742445355e-05	30.0	3468.0	85.0	34895.0	0.86	0.24	CCDC90B,COL23A1,SYBU,PCSK5,LOC150568,LOC440970,SPATA8,UNC13C,IGSF21,LOC100505875,NELL1,GRM7,IGLL5,CLSTN2,LOC400620
MA0162.1.Egr1	3.12222374334e-07	0.000164839851778	15.0	3483.0	22.0	34958.0	0.43	0.06	FGD5,TUBAL3,ADCY1,CACNA1E,PLCG2,ADAMTS17,WWOX,ADAMTS20
MA0067.1.Pax2	9.41583136865e-07	0.000496091452685	11.0	3487.0	11.0	34969.0	0.31	0.03	ZNF333,EMR2,SPATA8,COL23A1,C11orf87
MA0079.1.SP1	1.51282317401e-06	0.000795429069851	36.0	3462.0	135.0	34845.0	1.03	0.39	ENOX1,LINC00379,ADAMTS17,ADCY2,SNTG1,NRXN3,NDST4,DCC,FRMD3,PARK2,RGMA,STPG2,SFMBT2,WDFY4,PRIMA1,FICD,SH3BGR,ZNF99,IQGAP2,ZNF804B
UP00065_2_Zfp161_secondary	8.81609619891e-06	0.00461777604219	10.0	3488.0	12.0	34968.0	0.29	0.03	NLRP5,ELAVL2,SNTG1,DCC,UNC13C,TMEM132C,FRMD3
MA0058.1.MAX	2.38120911755e-05	0.0124001608063	13.0	3485.0	26.0	34954.0	0.37	0.07	PSD3,TGM3,SLC24A3,PARK2,DLGAP2,CUX2,SLIT1,SLC22A3,MYO5B,COL6A5
MA0018.1.CREB1	5.30117662916e-05	0.0273450540017	8.0	3490.0	9.0	34971.0	0.23	0.03	ESRRG,CLNK,CARD11,ALDH1A2
MA0259.1.HIF1A::ARNT	0.000105010843598	0.0533430860171	9.0	3489.0	14.0	34966.0	0.26	0.04	ITIH2,LRP1B,CSMD1,CELF2
UP00070_1_Gcm1_primary	0.000214101306487	0.105561134756	8.0	3490.0	12.0	34968.0	0.23	0.03	TMEM132D,LOC286370,CTNND2,MIR4719
UP00026_1_Zscan4_primary	0.0002188124526	0.10755904616	16.0	3482.0	50.0	34930.0	0.46	0.14	IYD,JAKMIP1,SLC24A3,SERPINA13P,ERICH1-AS1,WWOX,LRRC3B,VWF
MA0159.1.RXR::RAR_DR5	0.000408285892765	0.190989714444	11.0	3487.0	27.0	34953.0	0.31	0.08	MIR4325,ANO2,MAP10,IL22,IL26
klf4_homer	0.000442923725835	0.205057358495	31.0	3467.0	150.0	34830.0	0.89	0.43	ENOX1,CDH12,DNAH11,HPYR1,CLYBL,PCSK6,PLCG2,SFMBT2,CSMD1,ADAMTS16,TMEM132C,PARK2,FICD,GRM7,KCNQ3,COL9A1,OCSTAMP,CTNNA3,LOC440970,ZNF99,NPS
MA0003.1.TFAP2A	0.000661825065135	0.289848417224	11.0	3487.0	29.0	34951.0	0.31	0.08	CECR2,IGLL5,COL22A1,HSPB8,EPB41L4A,CUX2,AACSP1,LOC100190940
MA0095.1.YY1	0.000741016995947	0.317850549374	157.0	3341.0	1190.0	33790.0	4.49	3.4	PCSK6,HPVC1,LOC100128239,LOC285577,DUSP27,MT1HL1,FSTL5,NTRK2,PARK2,DLGAP2,ARHGAP24,SV2C,JAKMIP1,ENPP6,MACROD2,COL23A1,GNPAT,GYPA,PCSK5,FLJ31485,NRXN3,FREM3,ARHGAP15,CADPS2,MYO5B,SLC19A3,ADCY8,FLJ41278,TMEM132D,ADRBK2,MEGF10,GRIK1,CLDN8,TSHZ2,KCNIP4,C8orf22,SDK1,SDK2,IGSF9B,FPGT-TNNI3K,UNC5D,ABCB10,GALNT8,KIAA0040,LINC00535,GIMAP1,LINC00617,CAAP1,RBFOX1,SHISA6,ZNF423,GABRR2,CSMD1,ADAMTS17,KCNA6,PSD3,UNC79,GIMAP1-GIMAP5,SGCZ,STOX2,LAMA1,RIMBP2,FLJ41649,IGSF21,LOC100506035,LINC00701,PRRC1,FLJ30838,TAF1L,GDA,WWOX,MIR4325,PTPRZ1,LOR,LPHN3,PRR9,SERPINA3,SERPINA5,RTDR1,OR8B12,USH1C,SLC24A4,PRKCB,SLC24A3,MIR3680-1,MIR3680-2,PACRG,EXOC8,DRD2,BCL2
MA0076.1.ELK4	0.000778748483379	0.330491696059	9.0	3489.0	20.0	34960.0	0.26	0.06	OR1I1,ITLN1,CASP14,WWOX,MUC16,CNTNAP2
MA0039.2.Klf4	0.000924816560648	0.378472832507	32.0	3466.0	165.0	34815.0	0.91	0.47	ENOX1,LAMA1,SDK2,CDH12,PLCG2,TSHZ2,PARK2,LOC440970,NDST4,CRTAC1,STPG2,CSMD1,FICD,SH3BGR,MYO5B,GRM7,ZNF99,TMEM132C,CTNNA3
MA0062.2.GABPA	0.00102349914857	0.408636235054	9.0	3489.0	21.0	34959.0	0.26	0.06	CSMD1,NLRP11,SGCZ,RFPL4A,MUC16
UP00006_1_Zic3_primary	0.00136259210973	0.502481678857	7.0	3491.0	13.0	34967.0	0.2	0.04	ESRRB
UP00002_2_Sp4_secondary	0.00161787996768	0.562818206099	8.0	3490.0	18.0	34962.0	0.23	0.05	SYCP2L,CSMD1,LOC100507377,CTNNA3
UP00057_1_Zic2_primary	0.00188471075772	0.617913944851	7.0	3491.0	14.0	34966.0	0.2	0.04	ESRRB
MA0104.2.Mycn	0.00214972901002	0.665590799305	9.0	3489.0	24.0	34956.0	0.26	0.07	SDK2,SLC24A3,DLGAP2,SLIT1,SLC22A3,MYO5B
UP00065_1_Zfp161_primary	0.00353582358919	0.834598827726	4.0	3494.0	4.0	34976.0	0.11	0.01	CPLX2
MA0048.1.NHLH1	0.00361688619518	0.840719036798	15.0	3483.0	62.0	34918.0	0.43	0.18	DLGAP2,ESRG,FAM181A-AS1,PCSK6,COBL,MYT1L,IMPA1,CACNA2D3,KCNA10,LOC285577,ANO3
UP00000_2_Smad3_secondary	0.00440229049699	0.892737546375	7.0	3491.0	17.0	34963.0	0.2	0.05	PTPRT,GFRA1
MA0062.1.GABPA	0.00459664841563	0.902378641525	12.0	3486.0	45.0	34935.0	0.34	0.13	LOC285577,WWOX,MUC16,COL23A1
UP00028_1_Tcfap2e_primary	0.00529286405766	0.931071678014	10.0	3488.0	34.0	34946.0	0.29	0.1	HPYR1,MTUS2,CTNND2,AACSP1,LOC100190940,CLRN3
UP00060_2_Max_secondary	0.00542393283114	0.935149066129	8.0	3490.0	23.0	34957.0	0.23	0.07	MYOM2,DPPA2,CCDC6,KBTBD11,MYO5B
MA0131.1.MIZF	0.00652152627974	0.962541736501	3.0	3495.0	2.0	34978.0	0.09	0.01	GALR1
