FACTOR1	P-VALUE	CORR.P-VALUE	A	B	C	D	PERCENT	BACK.PER.	GENES
UP00079_1_Esrra_primary	1.0	1.0	1.0	718.0	0.0	0.0	0.14	0.0	VWA3B
UP00000_2_Smad3_secondary	1.0	1.0	1.0	718.0	0.0	0.0	0.14	0.0	
MA0163.1.PLAG1	1.0	1.0	1.0	718.0	0.0	0.0	0.14	0.0	CSMD1
MA0152.1.NFATC2	1.0	1.0	12.0	707.0	0.0	0.0	1.67	0.0	SPEF2,LINC00461,KRTAP13-2,KRTAP23-1,MIR548N,PMFBP1
UP00228_1_Bapx1_2343.1	1.0	1.0	0.0	719.0	0.0	0.0	0.0	0.0	
MA0137.1.STAT1	1.0	1.0	2.0	717.0	0.0	0.0	0.28	0.0	LCLAT1,EIF3M
UP00104_1_Hmx1_3423.1	1.0	1.0	1.0	718.0	0.0	0.0	0.14	0.0	C4BPA
MA0078.1.Sox17	1.0	1.0	0.0	719.0	0.0	0.0	0.0	0.0	
UP00040_2_Irf5_secondary	1.0	1.0	2.0	717.0	0.0	0.0	0.28	0.0	CDH11,FBXL4
MA0055.1.Myf	1.0	1.0	6.0	713.0	0.0	0.0	0.83	0.0	APLNR,PLCG2,LHX8,NDNF,SAMD5,GUSBP1,LRRC55
MA0156.1.FEV	1.0	1.0	0.0	719.0	0.0	0.0	0.0	0.0	
UP00017_2_Nkx3-1_secondary	1.0	1.0	0.0	719.0	0.0	0.0	0.0	0.0	
MA0111.1.Spz1	1.0	1.0	1.0	718.0	0.0	0.0	0.14	0.0	
UP00106_1_Vax2_3500.1	1.0	1.0	0.0	719.0	0.0	0.0	0.0	0.0	
UP00051_1_Sox8_primary	1.0	1.0	2.0	717.0	0.0	0.0	0.28	0.0	STOML3
UP00257_1_Shox2_2641.2	1.0	1.0	0.0	719.0	0.0	0.0	0.0	0.0	
UP00067_1_Lef1_primary	1.0	1.0	0.0	719.0	0.0	0.0	0.0	0.0	
MA0041.1.Foxd3	1.0	1.0	2.0	717.0	0.0	0.0	0.28	0.0	FAM184B
UP00406_2_Spdef_secondary	1.0	1.0	0.0	719.0	0.0	0.0	0.0	0.0	
