FACTOR1	P-VALUE	CORR.P-VALUE	A	B	C	D	PERCENT	BACK.PER.	GENES
UP00079_1_Esrra_primary	1.0	1.0	1.0	1599.0	0.0	0.0	0.06	0.0	MTRNR2L5
UP00000_2_Smad3_secondary	1.0	1.0	2.0	1598.0	0.0	0.0	0.13	0.0	
MA0163.1.PLAG1	1.0	1.0	7.0	1593.0	0.0	0.0	0.44	0.0	IQUB,KCNK10,FAM155A,PRIMA1,GPR98
MA0152.1.NFATC2	1.0	1.0	12.0	1588.0	0.0	0.0	0.75	0.0	LOR,ZNF2,REG1A,REG1B,FREM3,PGLYRP3,PROM2,TRIM42
UP00228_1_Bapx1_2343.1	1.0	1.0	2.0	1598.0	0.0	0.0	0.13	0.0	SHOX2
MA0137.1.STAT1	1.0	1.0	5.0	1595.0	0.0	0.0	0.31	0.0	RNF6,MRPS9
UP00104_1_Hmx1_3423.1	1.0	1.0	0.0	1600.0	0.0	0.0	0.0	0.0	
MA0078.1.Sox17	1.0	1.0	2.0	1598.0	0.0	0.0	0.13	0.0	DPP6
UP00040_2_Irf5_secondary	1.0	1.0	0.0	1600.0	0.0	0.0	0.0	0.0	
MA0055.1.Myf	1.0	1.0	2.0	1598.0	0.0	0.0	0.13	0.0	
MA0156.1.FEV	1.0	1.0	3.0	1597.0	0.0	0.0	0.19	0.0	NAT1,THEG5,SDK2
UP00017_2_Nkx3-1_secondary	1.0	1.0	0.0	1600.0	0.0	0.0	0.0	0.0	
MA0111.1.Spz1	1.0	1.0	9.0	1591.0	0.0	0.0	0.56	0.0	KRBA1,TMEM132C,RPH3A,CTNNA2,GRM7,CDKAL1
UP00106_1_Vax2_3500.1	1.0	1.0	1.0	1599.0	0.0	0.0	0.06	0.0	
UP00051_1_Sox8_primary	1.0	1.0	2.0	1598.0	0.0	0.0	0.13	0.0	C4orf27
UP00257_1_Shox2_2641.2	1.0	1.0	0.0	1600.0	0.0	0.0	0.0	0.0	
UP00067_1_Lef1_primary	1.0	1.0	0.0	1600.0	0.0	0.0	0.0	0.0	
MA0041.1.Foxd3	1.0	1.0	15.0	1585.0	0.0	0.0	0.94	0.0	PDCL3,NMS,LRRC16A,CSMD3,RELN,TMEM260,PCDH15,MYO16,SOX5,SGCZ
UP00406_2_Spdef_secondary	1.0	1.0	2.0	1598.0	0.0	0.0	0.13	0.0	LOC100506035
UP00004_1_Sox14_primary	1.0	1.0	0.0	1600.0	0.0	0.0	0.0	0.0	
UP00206_1_Hoxb7_3953.1	1.0	1.0	0.0	1600.0	0.0	0.0	0.0	0.0	
UP00075_1_Sox15_primary	1.0	1.0	2.0	1598.0	0.0	0.0	0.13	0.0	NSUN7
UP00226_1_Mrg1_2246.2	1.0	1.0	0.0	1600.0	0.0	0.0	0.0	0.0	
UP00023_1_Sox30_primary	1.0	1.0	2.0	1598.0	0.0	0.0	0.13	0.0	C4orf27
MA0019.1.Ddit3::Cebpa	1.0	1.0	3.0	1597.0	0.0	0.0	0.19	0.0	LCP1
UP00244_1_Tlx2_3498.2	1.0	1.0	5.0	1595.0	0.0	0.0	0.31	0.0	PDCL3,SGCZ,WWOX,LINC00466,NMS
UP00159_1_Six2_2307.2	1.0	1.0	1.0	1599.0	0.0	0.0	0.06	0.0	KRBA1
UP00227_1_Duxl_1286.2	1.0	1.0	0.0	1600.0	0.0	0.0	0.0	0.0	
UP00100_1_Gata6_primary	1.0	1.0	0.0	1600.0	0.0	0.0	0.0	0.0	
MA0072.1.RORA_2	1.0	1.0	1.0	1599.0	0.0	0.0	0.06	0.0	C10orf71
UP00087_2_Tcfap2c_secondary	1.0	1.0	2.0	1598.0	0.0	0.0	0.13	0.0	CXCL13
UP00183_1_Hoxa13_3126.1	1.0	1.0	2.0	1598.0	0.0	0.0	0.13	0.0	MTRNR2L5
UP00081_2_Mybl1_secondary	1.0	1.0	1.0	1599.0	0.0	0.0	0.06	0.0	VANGL2
UP00253_1_Rax_3443.1	1.0	1.0	0.0	1600.0	0.0	0.0	0.0	0.0	
MA0150.1.NFE2L2	1.0	1.0	3.0	1597.0	0.0	0.0	0.19	0.0	SDK1,CYB5R4
UP00240_1_Cdx1_2245.1	1.0	1.0	1.0	1599.0	0.0	0.0	0.06	0.0	MTRNR2L5
