	f6hyper_in_lamina	f6hypo_in_lamina	f8hyper_in_lamina	f8hypo_in_lamina	fibroblasts_f6_hyper	fibroblasts_f6_hypo	fibroblasts_f8_hyper	fibroblasts_f8_hypo	koch_senescence_hyper	koch_senescence_hyper_in_lamina	koch_senescence_hypo	koch_senescence_hypo_in_lamina
	f6hyper_in_lamina	f6hypo_in_lamina	f8hyper_in_lamina	f8hypo_in_lamina	fibroblasts_f6_hyper	fibroblasts_f6_hypo	fibroblasts_f8_hyper	fibroblasts_f8_hypo	koch_senescence_hyper	koch_senescence_hyper_in_lamina	koch_senescence_hypo	koch_senescence_hypo_in_lamina
UP00079_1_Esrra_primary	0.317058216345	0.957002313083	0.435633168566	0.681488701093	0.897680183558	0.973538955039	0.22578065594	0.0333577113685	0.865021032805	1.0	0.226845059112	0.333790828417
UP00000_2_Smad3_secondary	0.0232552801953	0.00440229049699	0.317038374141	0.194188483389	0.000460614201288	3.53701625968e-07	0.0709629194431	0.000898763864133	8.94912605745e-13	1.0	1.42473311594e-10	2.640664352e-08
MA0163.1.PLAG1	0.0248375642666	0.592033049128	0.576095522745	0.100330251854	0.0104065382641	0.0847528990064	0.0109639227914	0.00944345350145	0.0085640788	0.159999063227	0.629183827191	0.999999999999
MA0152.1.NFATC2	0.960143250806	0.999957258878	0.489066880843	0.993925898582	0.99997519386	0.999999997738	0.995935614962	0.999976881318	0.999961535041	0.999999999999	0.993684559245	0.995541511029
UP00228_1_Bapx1_2343.1	1.0	0.834693679045	1.0	0.677168664087	0.863169664502	0.902375071951	1.0	0.483326729253	0.999999999963	1.0	0.907822971375	1.0
MA0137.1.STAT1	0.999999999997	0.999926068484	0.898164315649	0.883582193044	0.999980289615	0.999302600595	0.880444856722	0.996493055482	0.84517395645	0.999999999999	0.980170963233	0.965901742243
UP00104_1_Hmx1_3423.1	1.0	0.959773242957	0.533657856475	0.999999999993	0.747976177006	0.99795910715	0.937041830961	0.965690916847	0.999999999988	1.0	1.0	0.999999999999
MA0078.1.Sox17	0.802626121984	0.72796421941	1.0	0.978953484333	0.934753808644	0.276293755041	0.982493275613	0.997472447646	0.997780881429	1.0	0.999293965087	0.999999999987
UP00040_2_Irf5_secondary	0.999999999989	0.133879810971	0.127563003957	1.0	0.150125297489	0.0710062146027	0.0133427854411	0.65488437285	0.0685947934656	0.0909090909092	2.67114865434e-08	0.00282744876465
