	fibroblasts_f6_hyper	fibroblasts_f6_hypo	fibroblasts_f8_hyper	fibroblasts_f8_hypo	koch_senescence_hyper	koch_senescence_hypo
Egr3 (M00243)	1.21030235046e-58	2.28754589811e-96	2.87736868359e-83	1.68986372724e-37	3.09650410653e-17	1.65437564902e-05
Egr4 (M00244)	1.09092508078e-41	4.42786611642e-75	9.9968040043e-58	3.89053708039e-16	4.66803985965e-07	0.000317295012087
Mybl1 (UP00081_1)	1	1	1	1	0.99999999904	2.65964986604e-05
Egr1 (UP00007_1)	1	0.999999466878	0.999992736959	1	0.00575002786109	0.999281796509
E2f1 (MA0024.1)"	0.597511525852	0.626366595582	0.999999999998	0.0429305083848	1.40395925998e-05	1
Arnt (MA0004.1)	0	0	0	0	0	0
Egr1 (MA0162.1)	9.19451675655e-05	3.34132721491e-11	0.000769867846076	0.00165410057576	5.2911772741e-09	0.000850996373098
Hif1a::Arnt (MA0259.1)"	0.94864102298	1.5059997005e-07	0.00439105081628	0.412108860807	0.987771399216	0.000110544698943
Gata6 (UP00100_2)	0.000288192457764	0.986321135994	1	0.947747442343	1	0.981190844813
HOXA5 (MA0158.1)	0.999935271488	1	1	5.89528426076e-12	1	1
E2f2 (UP00001_1)	0.00249242245981	0.404788445342	1	0.150806891102	0.000284496691219	0.957245883712
Myb (UP00092_1)	0.999999999466	1	1	1	0.981797052951	2.65964986604e-05

