	down_genes_DE_promoter	up_genes_DE_promoter
MA0163.1.PLAG1	0.0	2.62789789929e-11
UP00100_1_Gata6_primary	1.0	1.0
UP00201_1_Emx2_3420.1	1.0	1.0
UP00230_1_Dlx5_3419.2	1.0	1.0
UP00391_1_Hoxa3_primary	1.0	1.0
UP00182_1_Hoxa6_1040.1	1.0	1.0
UP00030_1_Sox11_primary	1.0	1.0
UP00081_1_Mybl1_primary	0.999974372528	1.0
UP00035_1_Hic1_primary	1.0	1.0
MA0070.1.PBX1	1.0	1.0
MA0077.1.SOX9	1.0	1.0
UP00007_1_Egr1_primary	0.0	0.0
UP00185_1_Pbx1_3203.1	1.0	1.0
UP00164_1_Hoxa7_2668.2	1.0	1.0
UP00191_1_Pou2f2_3748.1	1.0	1.0
MA0004.1.Arnt	1.0	1.0
UP00154_1_Dlx3_1030.1	1.0	1.0
UP00000_1_Smad3_primary	1.0	0.999999980584
MA0117.1.Mafb	0.505374488356	0.581394253466
UP00125_1_Pitx2_2274.3	1.0	1.0
MA0133.1.BRCA1	1.0	1.0
UP00062_1_Sox4_primary	1.0	1.0
UP00048_1_Rara_primary	1.0	1.0
UP00146_1_Pou6f1_1731.2	1.0	1.0
MA0162.1.Egr1	0.0	0.0
MA0087.1.Sox5	1.0	1.0
MA0259.1.HIF1A::ARNT	0.0567851117431	0.999926594646
UP00050_1_Bhlhb2_primary	1.0	1.0
UP00258_1_Tgif2_3451.1	1.0	1.0
MA0158.1.HOXA5	1.0	1.0
MA0017.1.NR2F1	1.0	1.0
UP00156_1_Msx2_3449.1	1.0	1.0
UP00045_1_Mafb_primary	1.0	1.0
UP00113_1_Hoxc4_3491.1	1.0	1.0
MA0124.1.NKX3-1	1.0	1.0
UP00001_1_E2F2_primary	0.0	5.15540446999e-08
UP00225_1_Hlx1_2350.1	1.0	1.0
UP00110_1_Dlx4_3488.2	1.0	1.0
UP00052_1_Osr2_primary	1.0	1.0
UP00189_1_Hoxa5_3415.1	1.0	1.0
UP00017_1_Nkx3-1_primary	1.0	1.0
UP00153_1_Pitx1_2312.1	1.0	1.0
MA0040.1.Foxq1	1.0	1.0
UP00092_1_Myb_primary	0.999999859818	1.0
UP00091_1_Sox5_primary	1.0	1.0
