	down_genes_DE_promoter	up_genes_DE_promoter
	down_genes_DE_promoter	up_genes_DE_promoter
UP00079_1_Esrra_primary	0.967913988724	0.367214587603
MA0258.2.ESR2	0.582405475812	0.00157242099967
UP00116_1_Rhox6_4251.1	0.999827803304	0.996486655701
UP00104_1_Hmx1_3423.1	0.999992824747	0.967785563542
MA0152.1.NFATC2	0.976161792328	0.998880529328
UP00228_1_Bapx1_2343.1	0.977274279533	0.883244485456
MA0498.1.Meis1	0.0231162441509	0.5
MA0163.1.PLAG1	4.70369636594e-23	5.84044538348e-14
MA0078.1.Sox17	0.998264125248	0.532009126655
MA0137.3.STAT1	0.958669382865	0.195816320776
UP00107_1_Nkx2-4_3074.1	0.999999916661	0.824010640278
MA0156.1.FEV	0.309462713212	0.800998432734
MA0111.1.Spz1	0.0743101066088	0.439386945462
UP00106_1_Vax2_3500.1	0.99928526996	0.99859597983
MA0528.1.ZNF263	1.12324252172e-15	1.50512587263e-13
UP00051_1_Sox8_primary	1.0	0.999996591772
UP00257_1_Shox2_2641.2	0.999999999927	0.988400587885
MA0063.1.Nkx2-5	0.999999995722	0.994355880359
UP00250_1_Irx5_2385.1	0.999999999985	0.999974490576
UP00004_1_Sox14_primary	0.999999990508	0.999997450269
UP00206_1_Hoxb7_3953.1	0.999999997343	0.999996261275
UP00075_1_Sox15_primary	0.999999966025	0.999411441878
UP00226_1_Mrg1_2246.2	0.969646861346	0.963601301894
MA0470.1.E2F4	1.00916850888e-77	4.1116591417e-37
MA0499.1.Myod1	0.00253196287589	0.000486619127763
MA0472.1.EGR2	7.80377127e-44	1.51955765294e-30
UP00023_1_Sox30_primary	0.999451674157	0.994953278043
MA0019.1.Ddit3::Cebpa	0.964071254893	0.999537345509
UP00244_1_Tlx2_3498.2	0.999999999999	0.999999967919
UP00159_1_Six2_2307.2	0.98959428079	0.999990292093
UP00100_1_Gata6_primary	0.996775262939	0.999588553331
MA0072.1.RORA_2	0.999964495892	0.818568938627
MA0485.1.Hoxc9	0.999999800134	0.999880242656
UP00183_1_Hoxa13_3126.1	0.999759596178	0.904618994061
UP00253_1_Rax_3443.1	0.999234155316	0.250439128163
UP00238_1_Nkx6-3_3446.1	1.0	0.998977891686
UP00201_1_Emx2_3420.1	0.99861857015	0.964975379239
UP00230_1_Dlx5_3419.2	0.947229846018	0.861987225876
UP00168_1_Hoxd8_2644.1	0.999999997733	0.999999999335
