	kochsenescence.hypo 	kochsenescence.hypo,	kochsenescence.hypo,	kochsenescence.hypo,koch_senescence_hyper,fibroblasts_f6_hypo,fibroblasts_f8_hyper,fibroblasts_f8_hypo,fibroblasts_f6_hyper
Arnt MA0004.1,MA0004.1,MA0004.1_Arnt,1e-100,1e-100,1e-100,1e-100,1e-100,1e-100
Mycn MA0104.1,MA0104.1,MA0104.1_Mycn,1e-100,1e-100,1e-100,1e-100,1e-100,1e-100
Arnt::Ahr MA0006.1,MA0006.1,MA0006.1_Arnt::Ahr,1e-100,1e-100,1e-100,1e-100,1e-100,1e-100
ETS1 MA0098.2,MA0098.2,MA0098.2_ETS1,1e-100,1e-100,1e-100,1e-100,1e-100,1e-100
TFAP2A MA0003.1,MA0003.1,MA0003.1_TFAP2A,0.000146733687161,3.6745275489e-08,2.87056212134e-09,2.72779904459e-05,0.00316634824232,1.01627556892e-06
Egr1 MA0162.1,MA0162.1,MA0162.1_Egr1,0.000850996373098,5.2911772741e-09,3.34132721491e-11,0.000769867846076,0.00165410057576,9.19451675655e-05
CREB1 MA0018.2,MA0018.2,MA0018.2_CREB1,0.0026556785909,1.31967288923e-05,5.89528426076e-14,4.2430599958e-05,0.00882582435709,0.00743712213578
ELK4 MA0076.2,MA0076.2,MA0076.2_ELK4,0.06,0.00265251013696,1.96748173309e-11,2.72779904459e-05,2.44806994676e-08,1.59873397398e-06
Zfp161 UP00065.1,UP00065.1,UP00065.1_Zfp161,0.06,3.32288766092e-06,0.000834694651033,0.06,0.000289109318891,0.0433178912162
Klf4 MA0039.2,MA0039.2,MA0039.2_Klf4,0.06,0.00117579067093,1.20845582829e-06,0.06,7.87908188982e-06,3.33828197419e-07
Zfx MA0146.1,MA0146.1,MA0146.1_Zfx,0.06,0.06,5.04930541823e-11,0.06,1e-100,1e-100
SP1 MA0079.1,MA0079.1,MA0079.1_SP1,0.06,0.06,6.22578211207e-10,0.06,1e-100,1e-100
MZF11-4 MA0056.1,MA0056.1,MA0056.1_MZF11-4,1.01368809013e-07,0.000105320693382,1.90647497789e-11,1.78869166561e-05,0.06,0.06
Myc MA0147.1,MA0147.1,MA0147.1_Myc,5.88418203051e-13,0.06,0.00137767428033,0.00158017188532,0.0405536197906,0.06
MAX MA0058.1,MA0058.1,MA0058.1_MAX,1e-100,0.06,1.00249261281e-06,0.0116809369606,0.06,0.06
ZNF354C MA0130.1,MA0130.1,MA0130.1_ZNF354C,0.00331530149724,0.06,1e-100,2.4538305653e-06,0.06,0.06
HIF1A::ARNT MA0259.1,MA0259.1,MA0259.1_HIF1A::ARNT,0.000110544698943,0.06,1.5059997005e-07,0.00439105081628,0.06,0.06
Zic2 UP00057.1,UP00057.1,UP00057.1_Zic2,0.0173235203245,0.06,0.000364528887375,0.06,0.06,0.0143183259635
Zic3 UP00006.1,UP00006.1,UP00006.1_Zic3,0.025700802209,0.06,0.000364528887375,0.06,0.06,0.06
MYC::MAX MA0059.1,MA0059.1,MA0059.1_MYC::MAX,1e-100,0.06,0.0241620131749,0.06,0.06,0.06
